CanIdentifier,Type,Brand,Brew,Brewery,City,State,Caption,Size,Faces,Type,Side,Brand,Brew,Brewery,City,State,Caption,AltView,Price,Size,Faces,Tax,MandatoriesChanged,CanAdded
1028010,F,ABC EXTRA PALE EXTRA DRY,BEER,ABC,Los Angeles,CA,,12,2,F,F,ABC EXTRA PALE EXTRA DRY,BEER,ABC,Los Angeles,CA,,,40,12,2,,,
1028020,F,ABC EXTRA PALE EXTRA DRY,BEER,Maier,Los Angeles,CA,,12,2,F,F,ABC EXTRA PALE EXTRA DRY,BEER,Maier,Los Angeles,CA,,,75,12,2,,,
1028030,F,ABC EXTRA PALE DRY,BEER,Maier,Los Angeles,CA,,12,2,F,F,ABC EXTRA PALE DRY,BEER,Maier,Los Angeles,CA,,,12,12,2,,,
1028035,F,ABC PREMIUM,ALE,Gold Brau,Chicago,IL,"No ""BREWED AND PACKED BY...""",12,1,F,F,ABC PREMIUM,ALE,Gold Brau,Chicago,IL,"No ""BREWED AND PACKED BY...""",,,12,1,,,Yes
1028040,F,ABC PREMIUM,ALE,Gold Brau,Chicago,IL,"""BREWED AND PACKED BY...""",12,1,F,F,ABC PREMIUM,ALE,Gold Brau,Chicago,IL,"""BREWED AND PACKED BY...""",,35,12,1,,,
1028050,F,ABC PREMIUM,BEER,Gold Brau,Chicago,IL,Black mandatory,12,1,F,F,ABC PREMIUM,BEER,Gold Brau,Chicago,IL,Black mandatory,,60,12,1,,,
1028060,F,ABC PREMIUM,BEER,Gold Brau,Chicago,IL,"No ""BREWED AND PACKED BY...""",12,1,F,F,ABC PREMIUM,BEER,Gold Brau,Chicago,IL,"No ""BREWED AND PACKED BY...""",,25,12,1,,,
1028064,F,ABC PREMIUM,BEER,Gold Brau,Chicago,IL,"""ILLINOIS"", metallic, ""BREWED AND PACKE...""",12,1,F,F,ABC PREMIUM,BEER,Gold Brau,Chicago,IL,"""ILLINOIS"", metallic, ""BREWED AND PACKE...""",,,12,1,,,Yes
1028065,F,ABC PREMIUM,BEER,Gold Brau,Chicago,IL,"""ILL."", metallic, ""BREWED AND PACKE...""",12,1,F,F,ABC PREMIUM,BEER,Gold Brau,Chicago,IL,"""ILL."", metallic, ""BREWED AND PACKE...""",,,12,1,,,Yes
1028066,F,ABC PREMIUM,BEER,Gold Brau,Chicago,IL,"""ILLINOIS"", enamel, ""BREWED AND PACKE...""",12,1,F,F,ABC PREMIUM,BEER,Gold Brau,Chicago,IL,"""ILLINOIS"", enamel, ""BREWED AND PACKE...""",,,12,1,,,Yes
1028070,F,ABC OLD ENGLISH TYPE,ALE,ABC,St. Louis,MO,,12,1,F,F,ABC OLD ENGLISH TYPE,ALE,ABC,St. Louis,MO,,,1000+,12,1,OT,,
1028080,F,ABC SELECT PILSENER TYPE,BEER,ABC,St. Louis,MO,"Thinner ""ABC"", ""...CORPORATION...""",12,1,F,F,ABC SELECT PILSENER TYPE,BEER,ABC,St. Louis,MO,"Thinner ""ABC"", ""...CORPORATION...""",,325,12,1,OT,,
1028090,F,ABC SELECT PILSENER TYPE,BEER,ABC,St. Louis,MO,"Thicker ""ABC"", ""CORPORATION""",12,1,F,F,ABC SELECT PILSENER TYPE,BEER,ABC,St. Louis,MO,"Thicker ""ABC"", ""CORPORATION""",,300,12,1,OT,,
1028100,F,ABC SELECT PILSENER TYPE,BEER,ABC,St. Louis,MO,"Thicker ""ABC"", ""COMPANY""",12,1,F,F,ABC SELECT PILSENER TYPE,BEER,ABC,St. Louis,MO,"Thicker ""ABC"", ""COMPANY""",,325,12,1,OT,,
1028110,F,ACE PREMIUM,BEER,Sioux City,Sioux City,IA,,12,2,F,F,ACE PREMIUM,BEER,Sioux City,Sioux City,IA,,,200,12,2,,,
1028120,F,ACE WISCONSIN PILSNER,BEER,Ace,La Crosse,WI,,12,2,F,F,ACE WISCONSIN PILSNER,BEER,Ace,La Crosse,WI,,,60,12,2,,,
1028130,F,ACE WISCONSIN PILSNER,BEER,Ace,La Crosse,WI,,12,2,F,F,ACE WISCONSIN PILSNER,BEER,Ace,La Crosse,WI,,,60,12,2,,,
